,레시피 이름,식품명,재료,양념,조리순서
737,부추김치,부추김치,부추 1단##,찹쌀풀 1컵##고춧가루 1컵 반##멸치액젓 1/2컵##마늘 1큰술##생강 약간##매실청 2큰술##,"부추는 시간을 들려 깨끗하게 다듬고 찬물에 담궈 이물질을 가라앉히면서 4~5번 살살 씻어줘요. 씻은 후 채반에 올려 물기를 빼주구요##풀을 쑤어 놓은 것이 좀 있어서 찹쌀풀 1컵에 고춧가루 1컵반, 멸치액젓, 마늘, 생강, 매실청을 넣어서 고춧가루를 미리 불려두었어요.##풀을 넣어 끈끈한 양념이 만들어졌어요.##양념을 옆으로 미루놓고 부추를 한쪽에 넣어요.##양념을 올려 결대로 살살 문질러 주고 살짝 뒤집어서 또 양념 바르고 반 갈라 펼쳐서 양념 바르고 또 뒤집어서 양념 바르고....뒤적이는게 아니라 그저 로션 바른다 생각하며 양념을 발라줘야 풋내가 안나요.##뒤적이기만 해도 양념이 골고루 잘 입혀졌어요. 부추가 그리 억센게 아니어서 생김치로 먹는게 더 맛날거 같네요.##길이를 짧게 하기보다 통째로 담아서 먹을 때 조금씩 넣어 한두줄기씩 쑤욱 올려 먹는게 더 맛나요. 고기 쌈 먹을때도 좋고 조미하지 않은 김에 올려서 먹으니 진짜 좋더라구요.##"
738,부드러운 고사리 나물 무침,고사리나물무침,고사리 330g##,들기름 1큰술##국간장 2큰술##다진 마늘 1/2큰술##다진 대파 3큰술##황설탕 1작은술##물 100ml##후추 약간##참기름 1큰술##통깨 1큰술 등##,"고사리는 질기고 억센 부분을 제거해줍니다.##고사리는 먹기 좋게 잘라줍니다. 너무 길면 엉켜서 젓가락으로 집으면 덩어리째 올라오기 때문이지요. 주방용 가위로 잘라주어도 되고, 칼로 잘라주어도 됩니다.##손질한 고사리는 찬물에 두세번 정도 헹궈서 물기를 제거합니다.##대파는 곱게 다져둡니다. 곱게 다지려면 길게 가닥가닥 채를 썬 뒤에 다시 썰어주면 곱게 다질 수가 있지요.##팬을 달군 다음 들기름 1큰술을 넣어주고 고사리를 넣어줍니다. 그런 다음 다진 마늘 반 큰술을 넣어서 볶다가 국 간장 2큰술을 넣어줍니다.##다진 대파도 넣어 볶아주고 후추도 넣어줍니다. 그리고 물 100ml 를 부어서 물이 졸아들 때까지 볶아줍니다. 살짝 뚜껑을 닫아주어도 좋구요.##물이 들어가서 고사리가 훨씬 부드럽게 볶아지는 것이구요~ 다시마 우린 물을 물 대신 넣어주시면 더욱 좋구 요.##황설탕 1작은술은 조미료 역할을 해서 감칠맛을 내줍니다. 다시다나 미원을 넣지 않는 대신 넣어주는 것이라고 보시면 됩니다. 흰설탕을 사용하시면 양을 반 작은술을 넣어주세요. 물이 거의 졸아들 때 마지막으로 참기름 1큰술과 통깨 1큰술을 넣어 완성합니다.##"
739,"sns 마요네즈 마늘빵, 에어프라이어 마늘빵 만들기, 트위터 마늘빵, 식빵요리",마늘빵,식빵 2장##마요네즈 3숟갈##설탕 2숟갈##다진마늘 1숟갈##소금 1꼬집##,,"그릇에 마요네즈, 설탕, 소금, 다진마늘을 넣고 골고루 섞어주세요.
*설탕, 소금, 마늘, 마요네즈 순서로 계량하면 숟갈 한개로 끝나요 :)
*설탕을 다 녹이는게 아니라 재료가 서로 골고루 섞일정도만 섞어요.##소스를 2등분하여 빵에 골고루 펴발라주세요.
*소스가 도톰하게 발려야 겉은 바삭하고 속은 쫀득해요.
*식빵도 좋고 바게트빵도 좋아요.##에어프라이어에 넣고 180℃에서 8분간 구워주세요.
에어프라이어
위가 살짝 노릇할정도만 구워야 속이 쫀득합니다.##막 구워진 상태에서 먹어야 가장 맛이 좋습니다.##"
740,김 튀김 만들기,김튀김,김 20g##식용유 300ml##,튀김가루 50g##물 70ml##참깨 2Ts##,"김을 준비한다.##튀김가루에 물, 참깨를 넣고 섞는다.##김을 두 장씩 겹쳐 한쪽만 반죽을 묻혀준다.##식용유에 튀겨준다.##튀긴 김은 기름을 뺀다.##"
741,다시마튀각 백종원 차줌마처럼~,다시마튀각,다시마 ##오일 ##,설탕 ##,"다시마를 준비해 주세요~##다시마는 물에 닿으면 진액이 나오기 때문에
물로 씻으면 안되고 행주나 키친타올로 닦아주세요~
전 키친타올에 물을 살짝 묻혀서 닦다가 하얗게 먼지처럼 조금씩 붙길래 행주에 물 아주 살짝 적셔서 닦아줬답니당ㅋ##다시마를 다 닦았으면
먹기 좋은 한 입 크기로 잘라주세요~
크게 자르면 먹기도 불편하고 골고루 튀기기도 힘들어용
닦지 않고 그냥 튀기면 엄청 쓰고 짜요☆##팬에 기름을 넉넉하게 넣고 충분히 달궈 주세요~
기름이 달궈졌으면 튀기기 전에 다시마 작게 잘라 넣고 먼저 기름 온도를 측정하고 튀기는 시간을 조절해요##위생봉지에 설탕을 넣고 대기~~!
튀기자마자 설탕으로 직행해야 설탕이 잘 붙어요##다시마를 넣고 덜 튀긴 부분이 없도록
골고루 잘 튀겨 주세요~
기름에 넣으면 오그라들거나 뽀글뽀글 모양이 되는데 모양이 변형되도 겁먹지 마세용ㅋ
전 센불에 10초 안되게 튀긴것 같아요##튀각을 체로 건져내고~##체를 탁탁탁 쳐서 기름을 좀 빼주세요##미리 준비해둔 설탕봉지에 튀긴 다시마를 바로 넣고 shake it!! shake it!!##설탕을 뿌리는 것보다 위생봉지에 하면 흘리지도 않고 쉽게 골고루 묻힐 수 있어요~##"
742,소고기 메추리알 장조림 맛있게 만드는 방법!,소고기메추리알장조림,소고기 200g##메추리알 40개##파 1/2개##양파 1/2개##다시마 조금##표고버섯 생략가능##,설탕 3T##간장 1/2컵##맛술 1T##올리고당 1T##물 4컵##,"고기는 키친타올로 핏기를 제거해주세요
물에 헹궈도 되지만 철분듬뿍을 위해 키친타올로 톡톡 눌러주세요##고기는 토막내서 끓는물에 넣고 데쳐주세요. 1분정도 있다가 색이 바뀌면 빼주세요
찬물에 담궈 30분정도 핏기를 따로 빼주기도 하지만 데치는게 더 깔끔합니다.##고기,야채,다시마와 만든 조림장을 넣고 센불로 끓여주세요
집에 표고버섯이 있다면 함께 넣어주면 더 맛있어져요. 또는 고기를 부드럽게 만들어주는 무를 넣어도 좋아요##센불로 이렇게 끓으면 다시마를 건져내고 중불로 25분정도 끓여주세요##메추리알은 찬물에 소금1T, 식초1T를 넣고 물이 끓고난후 7분이 지나면 빼주시면되요
끓기전 기포가 올라올때부터 끓을때까지 한쪽방향으로 저어주면 노른자가 가운데로 와서 껍질깔때도 편하답니다!##삶아지면 찬물에 담궈 식혀주세요
다식고 나면 둥근 아랫쪽을 톡 깨서 껍질을 까주세요
노른자가 나와버리면 장조림이 탁해지나 터진겁 입으로 넣어주세요^^##젓가락으로 고기를 찔러서 쑥 들어가면 다익었어요~
꺼내서 한김 식혀주세요
칼로 잘라도 좋고 결대로 손으로 찢어도 좋아요##끓여준 조림장에 야채는 모두 건져준후에 찢어놓은 고기와 메추리알을 넣고 끓여주세요##처음엔 센불로 하다가 끓으면 중불로 줄여서 10분정도 끓여주면 메추리알 색도 잘입혀지고 있답니다##"
743,"[간단한 밑반찬 만들기]잔멸치볶음,호두멸치볶음맛있게만드는법",잔멸치고추볶음,잔멸치 2컵##호두 1/2컵##,간장 3T##올리고당 3T##설탕 2T##물 2T##마늘 1/2T##맛술 2T##,"재료:멸치 2컵, 호두1/2컵
양념장: 간장3스푼,올리고당3스푼,설탕2스푼,물2스푼,마늘1/2스푼,맛술2스푼##간장3스푼, 맛술2스푼,설탕2스푼,
(짠맛이 걱정이 되시는 분들은 2스푼만 넣으셔도 됩니다)##올리고당3스푼,마늘1/2스푼,물2스푼을 넣고##설탕이 잘풀어질때까지 섞어서 양념장을 준비합니다.##호두를 잘게 다져서 준비해주세요.
큰사이즈를 좋아하시면 자르지 않으셔도 됩니다.##아무것도 두르지 않은 프라이팬에 멸치와 호두를 넣고 달달 볶아주세요.
(약불로 5분정도)##멸치가 바삭바삭해지면, 만들어 두었던 양념장을 넣어주세요.##그리고 다시 양념장을 잘 스며들때까지 볶아주시면~##호두를 넣은 잔멸치볶음 완성입니다.##"
744,단무지무침 만드는 법 초 간단 반찬으로 추천,단무지무침,단무지 1/4개##대파 1뿌리##청양고추 1개##,고춧가루 1Ts##설탕 1Ts##다진 마늘 1ts##참기름 1Ts##통깨 1ts##검은깨 1ts##,"건강을 생각해서 단무지를 먼저 깨끗한 물에 30분 정도 담궈 놨다가 사용하세요:)
단무지 1/4개, 물##단무지 1/4개를 채 썰어 준비해 주세요 반달 모양으로 잘라도 상관은 없지만 그러면 너무 짠맛이 많아서 전 채 썰어 먹는 게 좋더라고요##채 썰어 둔 단무지를 볼에 담아주세요##그리고 파 한 뿌리와 청양고추 1개를 잘게 썰어서 함께 넣어주면 더 맛있어요:)
대파 1뿌리, 청양고추 1개
대파와 청양고추는 십자가 보야으로 낸 뒤 송송 썰어주세요##고춧가루 1Ts를 넣어주세요
고춧가루 1Ts##설탕 1ts을 넣어주세요
설탕 1ts##다진 마늘 1ts를 넣어주세요
다진 마늘 1ts##참기름 1Ts과 통깨 1ts, 검은깨 1ts까지 넣어준 뒤 살살 살 비벼주세요
참기름 1Ts과 통깨 1ts, 검은깨 1ts##정말 간단하게 단무지 무침이 완성되었습니다 :) 단무지는 김밥 쌀 때나 먹는다고 생각하잖아요 그런데 이렇게 반찬으로 만들어 먹어도 참 좋아요 :)##"
745,새우젓으로 애호박 볶음(간단 밑반찬),애호박볶음,애호박 1개##양파 1/2개##들기름 1스푼##새우젓 1스푼##다진마늘 1/2스푼##통깨 약간##,,"깨끗이 씻은 애호박은 길게 자른후
두께5cm 정도 반달모양으로 썰어
주시고요##양파는 채썰어서 준비 하고요##후라이팬에 들기름 두르고
양파와호박을 넣고 센불에서
볶아줍니다
(호박은 센불에 볶아야 색이
변하지 않고 녹색을 유지합니다)##바로 새우젓과 갈은마늘도넣고
볶아도 호박은 금방익고 아삭한
맛이 살아 나며 고소 하지요##예쁜 녹색을 식탁까지 유지하려면
볶은호박을 넓은접시나 쟁반에
얇게펴서 시원한곳에서 식혀주세요
후라이팬에 오래두면 색이 바로
변해 버립니다##통깨솔솔 뿌리면 애호박볶음이
완성됩니다^^##"
746,"미역초무침 황금레시피, 새콤달콤하게 저녁반찬 만들어먹어요 ♬",미역초무침,미역 국그릇 1가득##양파 1/2개##매운고추 1개##소금 1꼬집##,고추장 2스푼##고추가루 1스푼##식초 3스푼##설탕 1스푼##매실 1스푼##간장 1스푼##참기름 1스푼##다진마늘 1/2스푼##깨 1스푼##,"먼저 미역 국그릇 담은 걸 15분 정도 물에 불려주세요##그 때 저는 양파 반개와 매운고추 1개를 준비해주었어요
저는 매운거 좋아해서 매운고추 2개 준비해주었구요~
양파 매운거 줄이고 싶으시다면 찬 물에 10분 이내로 담궈주시면
매운 맛이 줄어들어요##이제 양념장을 만들어줄거에요~!
고추장 2스푼, 고추가루 1스푼, 식초 3스푼, 설탕 1스푼, 매실 1스푼
간장 1스푼, 참기름 1스푼, 다진마늘 반스푼, 깨 1스푼을 넣어서 섞어주세요~##그리고 불린 미역을 끓는 물에 한번 데쳐줄건데요~
그 때 소금 한꼬집을 먼저 넣어주세요
소금을 넣어주면 색감도 살아나고 미역비린내도 함께 제거될거에요##팔팔 끓는물에 30초 정도 데쳐주세요##30초간 데쳐 준 미역은 차가운 물에 깨끗하게 씻어준 후 물기를 꼬~옥 짜주세요
다음 먹기 좋은 크기로 잘라주세요^^##양념장도 완성이 되었어요~
양념장은 간 보시면서 기호에 맞게 양념 더 추가하시면 되세요~+_+♡##자 이제 물기를 꼬~옥 짜준 미역을 넣고
양파와 매운고추를 함께 넣어주세요##다음 양념장 투하~~##이제 빠르고 신속하게 휘리릭~~
무쳐주세요!##이제 완성되었네요~~♡##잘 익은 미역과 아삭한 양파의 식감까지 더해져
정말 맛있는 미역초무침이 완성 되었어요
신랑이 퇴근하고 와서 먹으면서 초장에 비빈거냐고
묻길래 제가 만든거라니깐 놀래더라구요~ㅎㅎㅎ##밥 한숟가락 먹고 미역에 양파 올려서 밑반찬으로
먹으니 겨울철 밑반찬으로 제격이더라구요~
새콤달콤하니 입맛 없으신 분들께 입맛 돋구기에도 딱일듯 싶어요 ㅎㅎ
초간단 레시피라고 하기에도 민망하게 뚝딱 5분만에 휘리릭~
만들 수 있는 미역초무침 맛있고 건강한 저녁반찬으로 먹었답니다~##"
747,열무 얼갈이김치 담그기,열무얼갈이김치,열무 1단##얼갈이 1단##소금 300g##물 3L##,홍고추 300g##양파 1+1/2개##쪽파 150g##다진마늘 80g##찹쌀풀 200g##배 1/2개##까나리액젓 1컵##매실청 4큰술##새우젓 4큰술##생강즙 2큰술##생수 3컵##풋고추 50g##,"열무는 뒤적이면 풋내가 날 수 있으니 잎의 끝부분과 떡잎만 제거한 후 5cm 길이로 잘라 주세요. 얼갈이배추도 떡잎을 제거한 후 5cm 길이로 잘라 주세요. 자른 열무와 얼갈이는 살살 한번 씻어 주세요.##열무와 얼갈이에 소금물을 부어 2시간 정도 절여 주세요. 중간에 한 번 뒤집어 주세요.##김치가 절여지는 동안 김치 양념을 만들어 주세요. 홍고추와 마늘, 양파, 배를 준비해 주세요. 쪽파는 4cm 길이로 잘라 주시고 홍고추는 씨를 제거하고 채 썰어 주었습니다.##찹쌀풀을 만들고 분량의 양념을 믹서에 갈아주세요. 식은 찹쌀풀과 믹서에 갈은 양념, 까나리액젓, 생강즙, 매실청, 새우젓, 생수 3컵을 넣고 잘 섞어 주세요.##절인 재료는 서너 번 흔들어서 씻은 후 물기를 빼 주세요.##큰 김치통에 절인 열무와 얼갈이 - 김치 양념 - 열무와 얼갈이 - 김치양념 순으로 살살 버무려 주세요. 한꺼번에 넣고 버무리면 풋내가 날 수 있으므로 켜켜이 섞어 주세요. 바로 김치냉장고에 넣는 것보다 반나절 정도 상온에서 익힌 후 냉장고에 넣어야 맛이 좋습니다.##"
748,깻잎나물 무침,깻잎나물무침,,,"깻잎순을 따왔어요. 질긴줄기는 손질해 주고요##물이 끓어오를때 소금 1큰술 넣고 데쳐요. 깻잎순넣고 보그르 끓어오를때까지. 물에 1~2회 행궈주고요.##나물을 슬쩍 짠후 양념넣어 무침.
나물을 넘 꼭짜면 질긴식감이 있어서 슬쩍짜요.##"
749,입맛 돋우어 주는 머위나물무침,머위대나물무침,,고추장 1+1/2큰술##고춧가루 1작은술##매실액 2큰술##식초 1큰술##다진 파 1/2큰술##다진 마늘 1/2큰술##통깨 약간##,"머위나물은 껍질을 벗겨주세요.##끓는 물에 소금을 넣고 머위나물을 넣어 데쳐주세요.##데쳐낸 머위나물은 찬물에 헹구어 물기를 꼭 짜주세요.##분량의 양념재료 고추장, 고춧가루, 매실액, 식초, 다진 파, 다진 마늘, 통깨를 넣고 골고루 섞어주세요.##양념에 머위나물을 넣고 간이 골고루 배도록 조물조물 버무려주세요.##머위나물무침을 접시에 담고 통깨를 조금 뿌려냅니다.##"
750,된장으로 무친 미나리 나물,미나리나물,미나리 1단##,된장 1##매실청 1##깨소금 1##,미나리는 억센 줄기는 잘라내고 깨끗이 씻어서 끓는물에 소금 한큰술 넣고 줄기 부터 넣으면서 데쳐주세요.##마지막에 생수에 헹궈서 물기 꼭 짜 먹기좋은 길이로 잘라주세요.##된장에 매실청 넣고 된장을 고루 잘 풀어서 깨소금 넣고 조물조물 무치세요.##
751,양념장이 참 맛있는 두부조림,두부조림,두부 1모##양파 1/2개##파 1/2대##식용류 1/2큰술##들기름 1큰술##,물 100ml##간장 4큰술##고춧가루 2큰술##굴소스 1/2큰술##다진 마늘 1큰술##설탕 1큰술##깨 1큰술##참기름 1큰술##,"두부는 체에 받쳐 물기를 빼주세요##양파는 얇게 썰어주시고 파는 송송 썰어둡니다
양파 1/2, 파 1/2,##양념장도 만들어주세요
물 100ml, 간장 4 큰 술, 고춧가루 2 큰 술, 굴소스1/2 큰 술, 다진 마늘 1 큰 술, 설탕 1 큰 술, 깨 1 큰 술, 참기름 1 큰 술##두부도 먹기 좋게 썰어주세요
두부 한모##식용류 1/2 큰 술, 들기름 1 큰 술를 두룬 팬에 두부를 구워주세요
양면을 다 구워주시면 됩니다 1분정도씩 부들부들하게 구워요
식용류 1/2 큰 술, 들기름 1 큰 술
중약불##두부가 구워졌다면 야채와 양념장을 올리고 5분더 끓여주세요
중약불##이제 뚜껑을 덮고 1분 더 끓여줍니다
중약불##너무 간단하게 완성이죠~^^##"
